AV. 5 DE MAYO NO. 551,COL.CENTRO TUXTEPEC,68300,91-(287)-5-16-88
CALLE ALDAMA NO. 99,COL.CENTRO TUXTEPEC,68300,91(287)5-00-45 5 08 86
AV. 20 DE NOVIEMBRE NO. 1121,COL.CENTRO TUXTEPEC,68300,91-(287)5-05-78
AV. 5 DE MAYO NO. 1953,COL.CENTRO TUXTEPEC,68300,91-(287)-5-00-21
CALLE ALDAMA NO.720,COL. LAZARO CARDENAS,68300,91-(287)-5-07-32
AV. 18 DE MARZO ESQ. BLVD.M. AVILA CAMACHO NO. 1372,COL. LAZARO CARDENAS TUXTEPEC,68340,91-(287)- 5-11-84
CALLE ALDAMA NO. 144-A,COL. CENTRO TUXTEPEC,68300,91-(287)-5-18-70- 5 10 86
BLVD. BENITO JUAREZ NO. 1291,FRACC.LOS ANGELES TUXTEPEC,68335,91-(287)5-40-14 - 5 43 88
AV. 20 DE NOVIEMBRE NO. 970-B,COL. CENTRO,68300,
CALLE MORELOS NO.426,COL. CENTRO TUXTEPEC,68300,01 287 5 29 31
PROL. AV. 5 DE MAYO NO. 270,COL. MA. EUGENIA TUXTEPEC,68350,91-(287)-5-18-75
LIBERTAD NO. 2005,CENTRO,68300,91 287 5 15 91
BOULEVAR BGENITO JUAREZ 1291,FRAC. LOS ANGELES,68335,91287-54014
20 DE NOVIEMBRE NO. 1081,CENTRO,68300,
AV. 20 DE NOVIEMBRE NO. 1081,COL. CENTRO TUXTEPEC,68300,
AV. INDEPENDENCIA NO. 574,CENTRO,68300,5-10-984
INDEPENDENCIA NO. 605,CENTRO,68300,
AV. INDEPENDENCIA NO 1021,CENTRO TUXTEPEC,68300,01 287 5 06 94
HIDALGO NO 689,LAZARO CARDENAS,68340,531-27 -
AV. INDEPENDENCIA NO. 497,COL.CENTRO TUXTEPEC,68300,91-(287)-5-29-96
AV. INDEPENDENCIA NO. 497,CENTRO,68300,91 287 5 29 96
AVENIDA 5 DE MAYO NO. 1226,CENTRO,68300,91 287 5 19 61
AV INDEPENDENCIA NO. 545-B,CENTRO,68300,
CALLE MATAMOROS NO. 40,COL. CENTRO TUXTEPEC,68300,91 (287) 5-15-47
BLVD. MANUEL AVILA CAMACHO 435,MARIA LUISA TUXTEPEC,68320,5-07-22 - 5 04 96
AV. 20 DE NOVIEMBRE NO. 1105 ESQ.OCAMPO,COL. LA PIRAGUA TUXTEPEC,68380,
CALLE MATAMOROS NO. 147,COL.CENTRO TUXTEPEC.,68300,91(287) 5-46-73
AV. INDEPENDENCIA NO. 390 ANTES 396,COL.CENTRO TUXTEPEC.,68300,91-(287)5-35-30 5 39 33
